,mid_price,estimated_delivery_price,volume_usd,quote_currency,creation_timestamp,base_currency,interest_rate,volume,underlying_index,underlying_price,price_change,mark_price,open_interest,ask_price,bid_price,instrument_name,last,low,high,currency,expire_date,strike_price,option_type
0,0.0007,2222.19,2.41,ETH,1704712781414,ETH,0.0,1.0,ETH-26JAN24,2241.65,0.0,0.000853,965.0,0.001,0.0004,ETH-26JAN24-1200-P,0.0011,0.0011,0.0011,ETH,26JAN24,1200,P
1,,2222.19,0.0,ETH,1704712781414,ETH,0.0,0.0,ETH-12JAN24,2226.35,,0.149997,229.0,,,ETH-12JAN24-2550-P,0.0755,,,ETH,12JAN24,2550,P
2,0.0305,2222.19,1709.73,ETH,1704712781414,ETH,0.0,24.0,ETH-23FEB24,2269.04,0.0,0.030491,5157.0,0.031,0.03,ETH-23FEB24-2800-C,0.032,0.032,0.032,ETH,23FEB24,2800,C
3,,2222.19,0.0,ETH,1704712781415,ETH,0.0,0.0,SYN.ETH-10JAN24,2224.200483367427,,0.124406,0.0,,,ETH-10JAN24-1950-C,,,,ETH,10JAN24,1950,C
4,0.19475,2222.19,175271.62,ETH,1704712781415,ETH,0.0,391.0,ETH-29MAR24,2293.97,-0.4988,0.193511,74926.0,0.1995,0.19,ETH-29MAR24-2000-C,0.1995,0.1995,0.2005,ETH,29MAR24,2000,C
5,0.0004,2222.19,136.63,ETH,1704712781415,ETH,0.0,79.0,SYN.ETH-9JAN24,2223.1257250511408,-80.0,0.000347,123.0,0.0005,0.0003,ETH-9JAN24-2450-C,0.0002,0.0002,0.0015,ETH,9JAN24,2450,C
6,0.08875,2222.19,13793.97,ETH,1704712781415,ETH,0.0,67.0,ETH-28JUN24,2359.87,-4.7368,0.088995,9839.0,0.0895,0.088,ETH-28JUN24-1900-P,0.0905,0.0905,0.095,ETH,28JUN24,1900,P
7,,2222.19,0.0,ETH,1704712781415,ETH,0.0,0.0,ETH-27SEP24,2409.51,,1.134421,0.0,,,ETH-27SEP24-5000-P,,,,ETH,27SEP24,5000,P
8,0.0004,2222.19,0.0,ETH,1704712781415,ETH,0.0,0.0,ETH-12JAN24,2226.35,,0.000372,2584.0,0.0005,0.0003,ETH-12JAN24-3400-C,0.0004,,,ETH,12JAN24,3400,C
9,,2222.19,0.0,ETH,1704712781415,ETH,0.0,0.0,ETH-28JUN24,2359.87,,0.368955,1319.0,0.44,,ETH-28JUN24-1600-C,0.3875,,,ETH,28JUN24,1600,C
